route_id,agency_id,trip_id,trip_origin,origin_departure_time,trip_headsign,destination_arrival_time,trip_short_name,direction_id,version,countries,is_active,irregularities,service_id,classes,connections,catering,plugs,wheelchair_accessible,bikes_allowed,car_transport,duration,distance,emissions_co2e,co2_per_km,via,_c26,_c27,_c28,_c29,_c30,_c31,_c32,_c33,_c34,_c35,_c36,_c37,_c38,_c39,_c40,_c41,_c42,_c43,_c44,_c45,_c46,_c47,_c48,Merged Doc ID - ONTD_Chatbase_Export,Merged Doc URL - ONTD_Chatbase_Export,Link to merged Doc - ONTD_Chatbase_Export,Document Merge Status - ONTD_Chatbase_Export,_c53,_c54,_c55,_c56
134,BDŽ,BDŽ 8626,Burgas,2026-03-16 23:00:00,Sofia,2026-03-16 05:45:00,8626,0,,BG,Y,,2026: Daily,"seat, sleeper",,0.0,1.0,2.0,2.0,2.0,6:45:00,444.0,9.1,20.5,Vladimir Pavlov - Aytos - Karnobat - Straldzha - Zimnitsa - Jambol - Nova Zagora - Stara Zagora - Elin Pelin - Kazichene - Iskar - Poduiane Patnicheska,Vladimir Pavlov,Aytos,Karnobat,#N/A,Straldzha,Zimnitsa,Jambol,Nova Zagora,Stara Zagora,#N/A,#N/A,Elin Pelin,Kazichene,Iskar,#N/A,Poduiane Patnicheska,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14,https://docs.google.com/document/d/1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14/edit?usp=drivesdk,ONTD_Chatbase_export_05/02/2025_May 2 2025 8:03 PM,Data merged and appended successfully; Manually run by jme@wegewerk.com; Timestamp: May 2 2025 4:08 PM,,,,
134,BDŽ,BDŽ 8627,Sofia,2026-03-16 22:50:00,Burgas,2026-03-16 05:50:00,8627,1,,BG,Y,,2026: Daily,"seat, sleeper",,0.0,1.0,2.0,2.0,2.0,7:00:00,444.0,9.1,20.5,Poduiane Patnicheska - Iskar - Kazichene - Elin Pelin - Ihtiman - Kostenets - Belovo - Septemvri - Pazardzhik - Stambolijski - Plovdiv - Nova Zagora - Jambol - Straldzha - Karnobat - Aytos - Vladimir Pavlov,Poduiane Patnicheska,#N/A,Iskar,Kazichene,Elin Pelin,Ihtiman,Kostenets,Belovo,Septemvri,Pazardzhik,Stambolijski,Plovdiv,Nova Zagora,Jambol,Straldzha,#N/A,Karnobat,Aytos,#N/A,Vladimir Pavlov,#N/A,#N/A,#N/A,1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14,https://docs.google.com/document/d/1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14/edit?usp=drivesdk,ONTD_Chatbase_export_05/02/2025_May 2 2025 8:03 PM,Data merged and appended successfully; Manually run by jme@wegewerk.com; Timestamp: May 2 2025 4:08 PM,,,,
131,BDŽ,BDŽ 8656,Varna,2026-03-16 23:45:00,Sofia,2026-03-16 09:00:00,8656,0,,BG,Y,,2026: Daily,"seat, sleeper",,0.0,1.0,2.0,2.0,2.0,9:15:00,539.0,11.0,20.41,Beloslav - Sindel - Dalgopol - Komunari - Dimitrovgrad - Jabalkovo - Parvomai - Popovitsa - Cheshnegirovo - Sadov - Katunitsa - Krumovo - Plovdiv - Proslav - Todor Kableshkov - Kadievo - Stambolijski - Pazardzhik - Septemvri - Belovo - Kostenets - Ihtiman,Beloslav,Sindel,Dalgopol,Komunari,Dimitrovgrad,Jabalkovo,Parvomai,Popovitsa,Cheshnegirovo,Sadov,Katunitsa,Krumovo,Plovdiv,Proslav,Todor Kableshkov,Kadievo,Stambolijski,Pazardzhik,Septemvri,Belovo,Kostenets,Ihtiman,Vakarel,1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14,https://docs.google.com/document/d/1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14/edit?usp=drivesdk,ONTD_Chatbase_export_05/02/2025_May 2 2025 8:03 PM,Data merged and appended successfully; Manually run by jme@wegewerk.com; Timestamp: May 2 2025 4:08 PM,,,,
131,BDŽ,BDŽ 8657,Sofia,2026-03-16 21:00:00,Varna,2026-03-16 05:42:00,8657,1,,BG,Y,,2026: Daily,"seat, sleeper",,0.0,1.0,2.0,2.0,2.0,8:42:00,539.0,11.0,20.41,Poduiane - Iskar - Kazichene - Vakarel - Ihtiman - Kostenets - Belovo - Septemvri - Pazardzhik - Stambolijski - Plovdiv - Krumovo - Parvomai - Dimitrovgrad - Komunari - Dalgopol - Sindel - Beloslav,Poduiane,#N/A,Iskar,Kazichene,Vakarel,Ihtiman,Kostenets,Belovo,Septemvri,Pazardzhik,Stambolijski,Plovdiv,Krumovo,Parvomai,Dimitrovgrad,Komunari,Dalgopol,Sindel,Beloslav,#N/A,#N/A,#N/A,#N/A,1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14,https://docs.google.com/document/d/1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14/edit?usp=drivesdk,ONTD_Chatbase_export_05/02/2025_May 2 2025 8:03 PM,Data merged and appended successfully; Manually run by jme@wegewerk.com; Timestamp: May 2 2025 4:08 PM,,,,
135,BDŽ,BDŽ 9646,Silistra,2026-03-16 18:20:00,Sofia,2026-03-16 05:46:00,9646,0,,BG,Y,"Train runs only to Gorna Orjahovica but with 1 couchette through coach to Sofia, not indicated in the official timetable",Daily,couchette,,0.0,1.0,2.0,2.0,2.0,11:26:00,605.0,12.4,20.5,Alfatar - Dulovo - Todorovo - Isperih - Samuil - Razgrad - Senovo - Vetovo - Yastrebovo - Ruse Razpredelitel - Ruse - Ivanovo - Dve Mogili - Borovo - Byala - Polski Trambesh - Petko Karavelovo - Gorna Oryahovitsa - Zverino - Lakatnik - Svoge - Kurilo,Alfatar,Dulovo,Todorovo,Isperih,Samuil,Razgrad,Senovo,Vetovo,Yastrebovo,Ruse Razpredelitel,Ruse,Ivanovo,Dve Mogili,Borovo,Byala,Polski Trambesh,Petko Karavelovo,Gorna Oryahovitsa,Zverino,Lakatnik,Svoge,Kurilo,Sofia Sever,1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14,https://docs.google.com/document/d/1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14/edit?usp=drivesdk,ONTD_Chatbase_export_05/02/2025_May 2 2025 8:03 PM,Data merged and appended successfully; Manually run by jme@wegewerk.com; Timestamp: May 2 2025 4:08 PM,,,,
135,BDŽ,BDŽ 9647,Sofia,2026-03-16 20:10:00,Silistra,2026-03-16 07:20:00,9647,1,,BG,Y,"Train runs only to Gorna Orjahovica but with 1 couchette through coach to Silistra, not indicated in the official timetable",Daily,couchette,,0.0,1.0,2.0,2.0,2.0,11:10:00,605.0,12.4,20.5,Sofia Sever - Kumarica - Kurilo - Romcha - Vlado Trickov - Lukovo - Rebrovo - Tompsan - Svoge - Gelen - Cerovo - Bov - Lakatnik - Zverino - Mezdra - Roman - Cherven Bryag - Telish - Dolni Dabnik - Pleven - Levski - Pavlikeni,Sofia Sever,Kumarica,Kurilo,Romcha,Vlado Trickov,Lukovo,Rebrovo,Tompsan,Svoge,Gelen,Cerovo,Bov,Lakatnik,Zverino,Mezdra,Roman,Cherven Bryag,Telish,Dolni Dabnik,Pleven,Levski,Pavlikeni,Gorna Oryahovitsa,1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14,https://docs.google.com/document/d/1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14/edit?usp=drivesdk,ONTD_Chatbase_export_05/02/2025_May 2 2025 8:03 PM,Data merged and appended successfully; Manually run by jme@wegewerk.com; Timestamp: May 2 2025 4:08 PM,,,,
120,ČD,ČD EC 458,Praha hl.n.,2026-03-16 18:28:00,Zürich HB,2026-03-16 08:30:00,EC 458,0,,"CH, DE, CZ",Y,,Daily,sleeper,,2.0,1.0,,2.0,2.0,14:02:00,915.0,18.8,20.55,Ústí nad Labem hl.n. - Dresden Hbf - Riesa - Freiburg (Breisgau) Hbf - Basel SBB,Ústí nad Labem hl.n.,Dresden Hbf,Riesa,Freiburg (Breisgau) Hbf,Basel SBB,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14,https://docs.google.com/document/d/1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14/edit?usp=drivesdk,ONTD_Chatbase_export_05/02/2025_May 2 2025 8:03 PM,Data merged and appended successfully; Manually run by jme@wegewerk.com; Timestamp: May 2 2025 4:08 PM,,,,
120,ČD,ČD EN 40459,Zürich HB,2026-03-16 19:59:00,Praha hl.n.,2026-03-16 09:23:00,EN 40459,1,,"CH, DE, CZ",Y,,2025: Daily,sleeper,,,0.0,,,2.0,13:24:00,915.0,18.8,20.55,Basel SBB - Basel Bad Bf - Freiburg (Breisgau) Hbf - Offenburg - Karlsruhe Hbf - Mannheim Hbf - Frankfurt (Main) Süd - Leipzig Hbf - Riesa - Dresden Neustadt - Dresden Hbf - Bad Schandau - Děčín hl.n. - Ústí nad Labem hl.n. - Praha-Holešovice,Basel SBB,Basel Bad Bf,Freiburg (Breisgau) Hbf,Offenburg,Karlsruhe Hbf,Mannheim Hbf,Frankfurt (Main) Süd,Leipzig Hbf,Riesa,Dresden Neustadt,Dresden Hbf,Bad Schandau,Děčín hl.n.,Ústí nad Labem hl.n.,Praha-Holešovice,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14,https://docs.google.com/document/d/1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14/edit?usp=drivesdk,ONTD_Chatbase_export_05/02/2025_May 2 2025 8:03 PM,Data merged and appended successfully; Manually run by jme@wegewerk.com; Timestamp: May 2 2025 4:08 PM,,,,
4,ČD,ČD EN 40476,Budapest-Nyugati,2026-03-16 19:30:00,Berlin Hbf,2026-03-16 08:14:00,EN 40476,0,,"HU, CZ",Y,,2025: Daily,sleeper,,,0.0,,,2.0,12:44:00,608.0,10.5,17.27,Vac - Štúrovo - Nové Zámky - Bratislava hl.st. - Kúty - Břeclav - Brno hl.n. - Pardubice hl.n. - Praha hl.n. - Praha-Holešovice - Ústí nad Labem hl.n. - Děčín hl.n. - Bad Schandau - Dresden Hbf - Dresden Neustadt - Berlin Südkreuz,Vac,Štúrovo,Nové Zámky,Bratislava hl.st.,Kúty,Břeclav,Brno hl.n.,Pardubice hl.n.,Praha hl.n.,Praha-Holešovice,Ústí nad Labem hl.n.,Děčín hl.n.,Bad Schandau,Dresden Hbf,Dresden Neustadt,Berlin Südkreuz,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14,https://docs.google.com/document/d/1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14/edit?usp=drivesdk,ONTD_Chatbase_export_05/02/2025_May 2 2025 8:03 PM,Data merged and appended successfully; Manually run by jme@wegewerk.com; Timestamp: May 2 2025 4:08 PM,,,,
4,ČD,ČD EN 40457,Praha hl.n.,2026-03-16 22:03:00,Budapest Nyugati,2026-03-16 08:29:00,EN 40457,1,,"HU, CZ",Y,,Daily,sleeper,,,0.0,,,2.0,10:26:00,608.0,10.5,17.27,Pardubice hl.n. - Brno hl.n. - Břeclav - Bratislava hl.st. - Nové Zámky - Vac,Pardubice hl.n.,Brno hl.n.,Břeclav,Bratislava hl.st.,Nové Zámky,Vac,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14,https://docs.google.com/document/d/1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14/edit?usp=drivesdk,ONTD_Chatbase_export_05/02/2025_May 2 2025 8:03 PM,Data merged and appended successfully; Manually run by jme@wegewerk.com; Timestamp: May 2 2025 4:08 PM,,,,
61,CFR/MÁV,CFR/MÁV IRN / IC 78,București Nord,2026-03-16 21:00:00,Budapest Keleti,2026-03-16 12:50:00,IRN / IC 78,0,,"HU, RO",Y,,Daily,"seat, couchette",,0.0,1.0,,2.0,2.0,15:50:00,858.0,18.2,21.21,Craiova - Timişoara Nord - Arad - Curtici - Lőkösháza - Szolnok,Craiova,Timişoara Nord,Arad,Curtici,Lőkösháza,Szolnok,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14,https://docs.google.com/document/d/1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14/edit?usp=drivesdk,ONTD_Chatbase_export_05/02/2025_May 2 2025 8:03 PM,Data merged and appended successfully; Manually run by jme@wegewerk.com; Timestamp: May 2 2025 4:08 PM,,,,
61,CFR/MÁV,CFR/MÁV IRN / IC 79,Budapest Keleti,2026-03-16 15:10:00,București Nord,2026-03-16 08:42:00,IRN / IC 79,1,,"HU, RO",Y,,Daily,"seat, couchette",,0.0,1.0,,2.0,2.0,17:32:00,858.0,18.2,21.21,Szolnok - Lőkösháza - Curtici - Arad - Timişoara Nord - Craiova,Szolnok,Lőkösháza,Curtici,Arad,Timişoara Nord,Craiova,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14,https://docs.google.com/document/d/1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14/edit?usp=drivesdk,ONTD_Chatbase_export_05/02/2025_May 2 2025 8:03 PM,Data merged and appended successfully; Manually run by jme@wegewerk.com; Timestamp: May 2 2025 4:08 PM,,,,
67,CFR/MÁV,CFR/MÁV IC 406,Brașov,2026-03-16 18:51:00,Budapest Keleti,2026-03-16 09:55:00,IC 406,0,,"HU, RO",Y,,Daily,"seat, couchette, sleeper",,4.0,1.0,,2.0,2.0,15:04:00,803.0,13.1,16.31,Miercurea Ciuc - Gheorgheni - Deda - Beclean pe Somes - Debrecen - Szolnok,Miercurea Ciuc,Gheorgheni,Deda,Beclean pe Somes,Debrecen,Szolnok,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14,https://docs.google.com/document/d/1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14/edit?usp=drivesdk,ONTD_Chatbase_export_05/02/2025_May 2 2025 8:03 PM,Data merged and appended successfully; Manually run by jme@wegewerk.com; Timestamp: May 2 2025 4:08 PM,,,,
67,CFR/MÁV,CFR/MÁV IC 407,Budapest Keleti,2026-03-16 17:40:00,Brașov,2026-03-16 09:43:00,IC 407,1,,"HU, RO",Y,,Daily,"seat, couchette, sleeper",,4.0,1.0,,2.0,2.0,16:03:00,803.0,13.1,16.31,Szolnok - Debrecen - Carei - Deda - Gheorgheni - Miercurea Ciuc,Szolnok,Debrecen,Carei,Deda,Gheorgheni,Miercurea Ciuc,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14,https://docs.google.com/document/d/1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14/edit?usp=drivesdk,ONTD_Chatbase_export_05/02/2025_May 2 2025 8:03 PM,Data merged and appended successfully; Manually run by jme@wegewerk.com; Timestamp: May 2 2025 4:08 PM,,,,
