origin,destination,airport_origin_name,airport_dest_name,origin_city,destination_city,vehicule_type,station_lat,station_long,station_lat_dest,station_long_dest,distance_km,co2_kg,departure_time,arrival_time,source,provider
Gare de Tiercé,Gare de Pornichet,Aérodrome privé de Soucelles,La Baule-Escoublac Airport,Gare de Tiercé,Gare de Pornichet,Avion,47.580399,-0.412269,47.289398,-2.34639,149.02635201568273,95.6056522248216,,,airports,OurAirports
Gare de Vitré,Gare de Batz-sur-Mer,Moulins le Haut Bois Airfield,La Baule-Escoublac Airport,Gare de Vitré,Gare de Batz-sur-Mer,Avion,48.001667,-1.352222,47.289398,-2.34639,108.71588505831791,69.74506828903272,,,airports,OurAirports
Gare de Ancenis,Gare de Langeais,Ancenis Airfield,Hommes Volants Ultralight Airfield,Gare de Ancenis,Gare de Langeais,Avion,47.4081,-1.1775,47.418534,0.323495,112.94829893483406,72.46031081947545,,,airports,OurAirports
Gare de Angers Saint-Laud,Gare de Le Croisic,Soulaire Airfield,La Baule-Escoublac Airport,Gare de Angers Saint-Laud,Gare de Le Croisic,Avion,47.565556,-0.549722,47.289398,-2.34639,138.5969382144863,88.91481603847376,,,airports,OurAirports
Gare de Bayeux,Gare de Pontchaillou,Mosles Airfield,Rennes-Saint-Jacques Airport,Gare de Bayeux,Gare de Pontchaillou,Avion,49.30083,-0.81183,48.0695,-1.73479,152.7620805551328,98.00225362261612,,,airports,OurAirports
Gare de Beaugency,Gare de Ancenis,Beaugency Airfield,Ancenis Airfield,Gare de Beaugency,Gare de Ancenis,Avion,47.749467,1.578984,47.4081,-1.1775,210.2055529127558,84.71757485038509,,,airports,OurAirports
Gare de Blois - Chambord,Gare de Saint-Nazaire,Chouzy-sur-Cisse Airfield,Saint-Nazaire-Montoir Airport,Gare de Blois - Chambord,Gare de Saint-Nazaire,Avion,47.506944,1.232778,47.31142,-2.152634,255.66465896990678,103.03861902197599,,,airports,OurAirports
Gare de Brest,Gare de Plestan,Brest Bretagne airport,Dinan-Trélivan Airfield,Gare de Brest,Gare de Plestan,Avion,48.447899,-4.41854,48.443351,-2.103142,170.7756565867612,109.55859692775192,,,airports,OurAirports
Gare de Brest,Gare de Yffiniac,Brest Bretagne airport,Saint-Brieuc-Armor Airport,Gare de Brest,Gare de Yffiniac,Avion,48.447899,-4.41854,48.538628,-2.853518,115.76449294965802,74.26699844174611,,,airports,OurAirports
Gare de Caen,Gare de Château-du-Loir,Caen Carpiquet airport,Saint-Pierre-de-Chevillé Airfield,Gare de Caen,Gare de Château-du-Loir,Avion,49.17678,-0.454883,47.633333,0.452222,184.2199236237722,118.18356762167888,,,airports,OurAirports
Gare de Cherbourg,Gare de Paris Saint-Lazare,Cherbourg Manche airport,Paris-Le Bourget International Airport,Gare de Cherbourg,Gare de Paris Saint-Lazare,Avion,49.650101,-1.47028,48.962276,2.436539,293.35351385714944,118.2280768678421,,,airports,OurAirports
Gare de Conlie,Gare de Rennes,Assé le Riboul Airfield,Rennes-Saint-Jacques Airport,Gare de Conlie,Gare de Rennes,Avion,48.195278,0.099444,48.0695,-1.73479,136.836890628061,87.78568353827536,,,airports,OurAirports
Gare de Courville-sur-Eure,Gare de Morannes,Loulappe Airfield,Solib'Ailes Airfield,Gare de Courville-sur-Eure,Gare de Morannes,Avion,48.438333,1.274444,47.7775,-0.514167,151.76924499907105,97.36531465440403,,,airports,OurAirports
Gare de Dreux,Gare de Flers,Dreux Vernouillet Airfield,Aérodrome de Flers Saint-Paul,Gare de Dreux,Gare de Flers,Avion,48.70543,1.361155,48.749964,-0.593927,143.4837568519848,92.04988226550782,,,airports,OurAirports
Gare de Granville,Gare de Surdon,Granville Airport,Argentan Airfield,Gare de Granville,Gare de Surdon,Avion,48.883099,-1.56417,48.709456,0.002856,116.39252773821963,74.66990487250939,,,airports,OurAirports
Gare de La Baule les Pins,Gare de Sablé-sur-Sarthe,La Baule-Escoublac Airport,Solib'Ailes Airfield,Gare de La Baule les Pins,Gare de Sablé-sur-Sarthe,Avion,47.289398,-2.34639,47.7775,-0.514167,147.86859167234084,94.8629081983585,,,airports,OurAirports
Gare de La Ferté-Bernard,Gare de Paris Montparnasse Hall 1 - 2,BELLEME St Germain de la Coudr Airfield,Vélizy-Villacoublay Air Base,Gare de La Ferté-Bernard,Gare de Paris Montparnasse Hall 1 - 2,Avion,48.300556,0.581111,48.774406,2.203102,130.5235113210441,83.73542841073575,,,airports,OurAirports
Gare de Landerneau,Gare de Montfort-sur-Meu,Landivisiau Air Base,Queneleuc Airfield,Gare de Landerneau,Gare de Montfort-sur-Meu,Avion,48.5303,-4.15164,48.098333,-2.076389,160.79888336434524,103.1581456107403,,,airports,OurAirports
Gare de Le Mans,Gare de Servon,Le Mans-Arnage Airport,La Baillée sous Champ Fleu Airfield,Gare de Le Mans,Gare de Servon,Avion,47.948604,0.201702,48.1875,-1.496389,128.94089148472418,82.72012205968593,,,airports,OurAirports
Gare de Le Pouliguen,Gare de Onzain - Chaumont-sur-Loire,La Baule-Escoublac Airport,Chouzy-sur-Cisse Airfield,Gare de Le Pouliguen,Gare de Onzain - Chaumont-sur-Loire,Avion,47.289398,-2.34639,47.506944,1.232778,270.4555516033589,108.99968206914752,,,airports,OurAirports
Gare de Le Theil - La Rouge,Gare de Le Vieux Briollay,BELLEME St Germain de la Coudr Airfield,Soulaire Airfield,Gare de Le Theil - La Rouge,Gare de Le Vieux Briollay,Avion,48.300556,0.581111,47.565556,-0.549722,117.37365841361003,75.2993347476271,,,airports,OurAirports
Gare de Meung-sur-Loire,Gare de Saumur,Cravant Les Lilas Airfield,Aérodrome de Saumur - Saint-Florent,Gare de Meung-sur-Loire,Gare de Saumur,Avion,47.836706,1.617899,47.256802,-0.115142,145.17516047187016,93.13497724412979,,,airports,OurAirports
Gare de Nonancourt,Gare de Folligny,Saint-André-de-l'Eure Airfield,Granville Airport,Gare de Nonancourt,Gare de Folligny,Avion,48.897669,1.250839,48.883099,-1.56417,205.80233461709017,82.9429786497773,,,airports,OurAirports
Gare de Onzain - Chaumont-sur-Loire,Gare de Batz-sur-Mer,Chouzy-sur-Cisse Airfield,La Baule-Escoublac Airport,Gare de Onzain - Chaumont-sur-Loire,Gare de Batz-sur-Mer,Avion,47.506944,1.232778,47.289398,-2.34639,270.4555516033589,108.99968206914752,,,airports,OurAirports
Gare de Orléans,Gare de Le Croisic,Mardié Airfield,La Baule-Escoublac Airport,Gare de Orléans,Gare de Le Croisic,Avion,47.903611,2.067778,47.289398,-2.34639,337.9140180492338,108.12201520054764,,,airports,OurAirports
Gare de Paris Montparnasse Vaugirard,Gare de Folligny,Vélizy-Villacoublay Air Base,Granville Airport,Gare de Paris Montparnasse Vaugirard,Gare de Folligny,Avion,48.774406,2.203102,48.883099,-1.56417,276.0042155417165,111.23591867661973,,,airports,OurAirports
Gare de Paris Montparnasse Vaugirard,Gare de L'Aigle,Vélizy-Villacoublay Air Base,L'Aigle-Saint-Michel Airfield,Gare de Paris Montparnasse Vaugirard,Gare de L'Aigle,Avion,48.774406,2.203102,48.758502,0.656632,113.355569881831,72.72158947250028,,,airports,OurAirports
Gare de Paris Saint-Lazare,Gare de Romilly-la-Puthenaye,Paris-Le Bourget International Airport,Cesseville Ferme des Moulins Private Airfield,Gare de Paris Saint-Lazare,Gare de Romilly-la-Puthenaye,Avion,48.962276,2.436539,49.177837,0.9953,107.69053091492866,69.08726750202936,,,airports,OurAirports
Gare de Pornichet,Gare de Onzain - Chaumont-sur-Loire,La Baule-Escoublac Airport,Chouzy-sur-Cisse Airfield,Gare de Pornichet,Gare de Onzain - Chaumont-sur-Loire,Avion,47.289398,-2.34639,47.506944,1.232778,270.4555516033589,108.99968206914752,,,airports,OurAirports
Gare de Rambouillet,Gare de Le Mans,La Fontaine au Berger Airfield,Le Mans-Arnage Airport,Gare de Rambouillet,Gare de Le Mans,Avion,48.582222,1.728889,47.948604,0.201702,133.19751668832168,85.45089700896287,,,airports,OurAirports
Gare de Romilly-la-Puthenaye,Gare de Paris Saint-Lazare,Cesseville Ferme des Moulins Private Airfield,Paris-Le Bourget International Airport,Gare de Romilly-la-Puthenaye,Gare de Paris Saint-Lazare,Avion,49.177837,0.9953,48.962276,2.436539,107.69053091492866,69.08726750202936,,,airports,OurAirports
Gare de Rouen Rive Droite,Gare de Arras,Rouen Vallée de Seine Airport,Arras-Roclincourt Airfield,Gare de Rouen Rive Droite,Gare de Arras,Avion,49.384887,1.179142,50.323898,2.80278,156.36181138510756,100.31160770113048,,,airports,OurAirports
Gare de Saint-Lô,Gare de Pontchaillou,Mosles Airfield,Rennes-Saint-Jacques Airport,Gare de Saint-Lô,Gare de Pontchaillou,Avion,49.30083,-0.81183,48.0695,-1.73479,152.7620805551328,98.00225362261612,,,airports,OurAirports
Gare de Saint-Pierre-des-Corps,Gare de La Baule les Pins,Tours Val de Loire Airport,La Baule-Escoublac Airport,Gare de Saint-Pierre-des-Corps,Gare de La Baule les Pins,Avion,47.432201,0.727606,47.289398,-2.34639,232.0655244716036,93.52763600767815,,,airports,OurAirports
Gare de Saint-Pierre-des-Corps,Gare de Le Croisic,Tours Val de Loire Airport,La Baule-Escoublac Airport,Gare de Saint-Pierre-des-Corps,Gare de Le Croisic,Avion,47.432201,0.727606,47.289398,-2.34639,232.0655244716036,93.52763600767815,,,airports,OurAirports
Gare de Saint-Pierre-des-Corps,Gare de Mézidon - Canon,Tours Val de Loire Airport,Rouvres Airfield,Gare de Saint-Pierre-des-Corps,Gare de Mézidon - Canon,Avion,47.432201,0.727606,49.02,-0.198333,189.4069027628083,76.33525013798106,,,airports,OurAirports
Gare de Versailles Chantiers,Gare de Briouze,Saint-Cyr-l'École Airport,Aérodrome de Flers Saint-Paul,Gare de Versailles Chantiers,Gare de Briouze,Avion,48.812459,2.067533,48.749964,-0.593927,195.11994289069582,78.63773405408598,,,airports,OurAirports
Gare de Versailles Chantiers,Gare de Sceaux - Boëssé,Saint-Cyr-l'École Airport,BELLEME St Germain de la Coudr Airfield,Gare de Versailles Chantiers,Gare de Sceaux - Boëssé,Avion,48.812459,2.067533,48.300556,0.581111,123.31680112880906,79.11207006501584,,,airports,OurAirports
Gare de Abancourt,Gare de Douai,Saint-Thibault Airfield,Vitry-en-Artois Airfield,Gare de Abancourt,Gare de Douai,Avion,49.693374,1.81118,50.337883,2.990714,110.62784070864234,70.9716551610979,,,airports,OurAirports
Gare de Angers Saint-Laud,Gare de Meung-sur-Loire,Soulaire Airfield,Cravant Les Lilas Airfield,Gare de Angers Saint-Laud,Gare de Meung-sur-Loire,Avion,47.565556,-0.549722,47.836706,1.617899,164.98402363280746,105.84306045705279,,,airports,OurAirports
Gare de Beaugency,Gare de Nantes,Beaugency Airfield,Nantes Atlantique Airport,Gare de Beaugency,Gare de Nantes,Avion,47.749467,1.578984,47.153198,-1.61073,248.81507454609104,100.27808214234616,,,airports,OurAirports
Gare de Beaugency,Gare de Savenay,Beaugency Airfield,Campbon La Berthelière Airfield,Gare de Beaugency,Gare de Savenay,Avion,47.749467,1.578984,47.420833,-2.011944,271.7629294260688,109.52658479373505,,,airports,OurAirports
Gare de Caen,Gare de Neuville,Caen Carpiquet airport,Le Mans-Arnage Airport,Gare de Caen,Gare de Neuville,Avion,49.17678,-0.454883,47.948604,0.201702,144.8607753595523,92.93328812467955,,,airports,OurAirports
Gare de Caen,Gare de Évreux Normandie,Caen Carpiquet airport,Évreux-Fauville (BA 105) Air Base,Gare de Caen,Gare de Évreux Normandie,Avion,49.17678,-0.454883,49.028702,1.21986,123.02520634281758,78.92500174238026,,,airports,OurAirports
Gare de Carentan,Gare de Paris Saint-Lazare,Lessay Airfield,Paris-Le Bourget International Airport,Gare de Carentan,Gare de Paris Saint-Lazare,Avion,49.202276,-1.507983,48.962276,2.436539,288.4825217360026,116.26495727418339,,,airports,OurAirports
Gare de Cesson-Sévigné,Gare de Sillé-le-Guillaume,Rennes-Saint-Jacques Airport,Courcité Airfield,Gare de Cesson-Sévigné,Gare de Sillé-le-Guillaume,Avion,48.0695,-1.73479,48.29,-0.259167,112.12074748994053,71.92940742844085,,,airports,OurAirports
Gare de Condé-sur-Huisne,Gare de Étriché - Châteauneuf,Champrond Le Petit Bois Landry Ultralight Airfield,Aérodrome privé de Soucelles,Gare de Condé-sur-Huisne,Gare de Étriché - Châteauneuf,Avion,48.39361,1.05753,47.580399,-0.412269,141.9180765437122,91.04544321816265,,,airports,OurAirports
Gare de La Ferté-Bernard,Gare de Tiercé,BELLEME St Germain de la Coudr Airfield,Aérodrome privé de Soucelles,Gare de La Ferté-Bernard,Gare de Tiercé,Avion,48.300556,0.581111,47.580399,-0.412269,109.02999614130788,69.94658160902017,,,airports,OurAirports
Gare de La Ferté-Bernard,Gare de Étriché - Châteauneuf,BELLEME St Germain de la Coudr Airfield,Aérodrome privé de Soucelles,Gare de La Ferté-Bernard,Gare de Étriché - Châteauneuf,Avion,48.300556,0.581111,47.580399,-0.412269,109.02999614130788,69.94658160902017,,,airports,OurAirports
Gare de Le Croisic,Gare de Angers Saint-Laud,La Baule-Escoublac Airport,Soulaire Airfield,Gare de Le Croisic,Gare de Angers Saint-Laud,Avion,47.289398,-2.34639,47.565556,-0.549722,138.5969382144863,88.91481603847376,,,airports,OurAirports
